Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Adam's Sweet Agony,https://www.justwatch.com/in/tv-show/adams-sweet-agony,2024,['Animation'],N/A,"{'Amazon Prime Video', 'Anime Times Amazon Channel'}",N/A,Japan,3min,TV-Show
Gullak,https://www.justwatch.com/in/tv-show/gullak,2019,"['Comedy', 'Drama', 'Kids & Family']",9.1,"{'Sony Liv', 'VI movies and tv'}",N/A,India,30min,TV-Show
True Detective,https://www.justwatch.com/in/tv-show/true-detective,2014,"['Drama', 'Mystery & Thriller', 'Crime']",8.9,{'Jio Cinema'},N/A,United States,1h 1min,TV-Show
We Were Kings,https://www.justwatch.com/in/tv-show/we-were-kings,2024,"['Drama', 'Crime']",5.1,{'Netflix'},N/A,Mexico,38min,TV-Show
The Flash,https://www.justwatch.com/in/tv-show/the-flash,2014,"['Drama', 'Science-Fiction', 'Action & Adventure']",7.5,{'Amazon Prime Video'},N/A,United States,42min,TV-Show
Stranger Things,https://www.justwatch.com/in/tv-show/stranger-things,2016,"['Drama', 'Science-Fiction', 'Action & Adventure', 'Fantasy', 'Horror', 'Mystery & Thriller']",8.7,{'Netflix'},N/A,United States,1h 1min,TV-Show
The Big Bang Theory,https://www.justwatch.com/in/tv-show/the-big-bang-theory,2007,"['Comedy', 'Romance']",8.1,"{'Amazon Prime Video', 'Netflix'}",N/A,United States,20min,TV-Show
Murshid,https://www.justwatch.com/in/tv-show/murshid,2024,"['Crime', 'Mystery & Thriller']",7.4,{'Zee5'},N/A,India,34min,TV-Show
Vikings,https://www.justwatch.com/in/tv-show/vikings,2013,"['War & Military', 'Action & Adventure', 'Drama', 'History', 'Romance', 'Made in Europe']",8.5,{'Netflix'},N/A,Canada,45min,TV-Show
Prison Break,https://www.justwatch.com/in/tv-show/prison-break,2005,"['Drama', 'Action & Adventure', 'Crime', 'Mystery & Thriller', 'Made in Europe']",8.3,{'Hotstar'},N/A,United States,49min,TV-Show
