Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Stree,https://www.justwatch.com/in/movie/stree,(2018),"['Horror', 'Comedy', 'Drama']",7.5  (43k)79%,"{'VI movies and tv', 'Hotstar', 'Amazon Video', 'Apple TV', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 8min,Movie
Despicable Me 4,https://www.justwatch.com/in/movie/despicable-me-4-2024,Me,"['Kids & Family', 'Comedy', 'Action & Adventure', 'Animation', 'Crime', 'Science-Fiction']",6.2  (51k)56%,"{'Bookmyshow', 'Amazon Video', 'Zee5', 'Apple TV', 'Jio Cinema'}","['U', 'U']",{'United States'},1h 34min,Movie
Je Jatt Vigarh Gya,https://www.justwatch.com/in/movie/je-jatt-vigad-gya,Jatt,['Drama'],5.2,{'Chaupal Amazon Channel'},[],{'India'},2h 12min,Movie
Smile 2,https://www.justwatch.com/in/movie/smile-2,2,"['Horror', 'Mystery & Thriller']",6.9  (46k)86%,{'Bookmyshow'},[],{'United States'},2h 7min,Movie
Saripodhaa Sanivaaram,https://www.justwatch.com/in/movie/saripodhaa-sanivaaram,Sanivaaram,"['Action & Adventure', 'Mystery & Thriller', 'Drama']",7.0  (7k),{'Netflix'},"['UA', 'UA']",{'India'},2h 52min,Movie
Oldboy,https://www.justwatch.com/in/movie/oldboy-2003,(2003),"['Drama', 'Mystery & Thriller', 'Action & Adventure']",8.3  (657k)82%,{'Amazon Prime Video'},"['A', 'A']",{'South Korea'},2h 0min,Movie
Premalu,https://www.justwatch.com/in/movie/premalu,(2024),"['Comedy', 'Romance']",7.8  (16k),"{'VI movies and tv', 'aha', 'Hotstar'}","['U', 'U']",{'India'},2h 36min,Movie
Laila Majnu,https://www.justwatch.com/in/movie/laila-majnu,Majnu,"['Romance', 'Drama']",7.7  (6k)60%,{'VI movies and tv'},"['UA', 'UA']",{'India'},2h 19min,Movie
Level Cross,https://www.justwatch.com/in/movie/level-cross,Cross,"['Drama', 'Mystery & Thriller']",6.8  (1k),"{'aha', 'Amazon Prime Video', 'ManoramaMax'}","['UA', 'UA']",{'India'},1h 56min,Movie
The Sabarmati Report,https://www.justwatch.com/in/movie/the-sabarmati-report,Sabarmati,"['Drama', 'Mystery & Thriller']",7.4  (18k),{'Bookmyshow'},"['UA', 'UA']",{'India'},2h 7min,Movie
96,https://www.justwatch.com/in/movie/96,(2018),"['Romance', 'Drama']",8.5  (39k)100%,"{'VI movies and tv', 'ManoramaMAX Amazon Channel', 'Sony Liv', 'Sun Nxt', 'MX Player', 'Amazon miniTV', 'aha', 'ManoramaMax'}","['U', 'U']",{'India'},2h 39min,Movie
Animal,https://www.justwatch.com/in/movie/animal-2022,(2023),"['Action & Adventure', 'Crime', 'Drama', 'Mystery & Thriller']",6.1  (100k),{'Netflix'},"['A', 'A']",{'India'},3h 21min,Movie
K.G.F: Chapter 1,https://www.justwatch.com/in/movie/k-g-f-chapter-1,Chapter,"['Mystery & Thriller', 'Action & Adventure', 'Crime', 'Drama']",8.2  (101k),{'Hotstar'},"['UA', 'UA']",{'India'},2h 36min,Movie
Jigra,https://www.justwatch.com/in/movie/jigra-2024,(2024),"['Drama', 'Mystery & Thriller', 'Crime', 'Action & Adventure']",7.0  (17k)69%,set(),[],{'India'},2h 35min,Movie
Vivekanandan Viralaanu,https://www.justwatch.com/in/movie/vivekanandan-viralaanu,Viralaanu,"['Comedy', 'Drama']",4.0  (1k),{'Amazon Prime Video'},"['UA', 'UA']",{'India'},2h 1min,Movie
Speak No Evil,https://www.justwatch.com/in/movie/speak-no-evil-2024,No,"['Horror', 'Mystery & Thriller', 'Drama']",6.9  (60k)84%,"{'Amazon Video', 'Zee5', 'Apple TV'}",[],{'United States'},1h 50min,Movie
Apocalypse Z: The Beginning of the End,https://www.justwatch.com/in/movie/apocalypse-z-el-principio-del-fin,Z:,"['Action & Adventure', 'Horror', 'Science-Fiction', 'Mystery & Thriller', 'Drama']",6.1  (12k),{'Amazon Prime Video'},[],{'Spain'},1h 57min,Movie
Mangalavaaram,https://www.justwatch.com/in/movie/mangalavaram,(2023),"['Mystery & Thriller', 'Action & Adventure', 'Horror']",6.8  (3k),"{'VI movies and tv', 'Hotstar', 'Amazon Prime Video', 'Jio Cinema'}",[],{'India'},2h 29min,Movie
Time Cut,https://www.justwatch.com/in/movie/time-cut,Cut,"['Science-Fiction', 'Mystery & Thriller', 'Horror']",5.0  (13k)27%,{'Netflix'},[],{'United States'},1h 30min,Movie
Joker: Folie à Deux,https://www.justwatch.com/in/movie/joker-2,Folie,"['Mystery & Thriller', 'Crime', 'Drama']",5.2  (116k)32%,"{'Amazon Video', 'Apple TV'}","['A', 'A']","{'Canada, United States'}",2h 18min,Movie
Don't Move,https://www.justwatch.com/in/movie/dont-move,Move,"['Horror', 'Mystery & Thriller']",5.8  (28k)73%,{'Netflix'},"['A', 'A']",{'United States'},1h 32min,Movie
Maa Nanna Superhero,https://www.justwatch.com/in/movie/maa-nanna-superhero,Nanna,['Drama'],7.0,"{'Zee5', 'Amazon Prime Video'}",[],{'India'},2h 7min,Movie
Gladiator II,https://www.justwatch.com/in/movie/gladiator-2,II,"['Drama', 'Action & Adventure']",7.0  (62k),{'Bookmyshow'},[],"{'Morocco, Canada, United States, United Kingdom'}",2h 28min,Movie
Harry Potter and the Philosopher's Stone,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,Potter,"['Action & Adventure', 'Fantasy', 'Kids & Family']",7.7  (880k)80%,"{'Apple TV', 'Bookmyshow', 'Tata Play', 'Jio Cinema'}","['U', 'U']","{'United States, United Kingdom'}",2h 32min,Movie
Fifty Shades of Grey,https://www.justwatch.com/in/movie/fifty-shades-of-grey,Shades,"['Mystery & Thriller', 'Drama', 'Romance']",4.2  (341k)25%,"{'Zee5', 'Jio Cinema'}",[],{'United States'},2h 5min,Movie
Dune: Part Two,https://www.justwatch.com/in/movie/dune-part-two,Part,"['Action & Adventure', 'Science-Fiction', 'Drama']",8.5  (548k)92%,"{'Amazon Video', 'Apple TV', 'Jio Cinema'}","['UA', 'UA']",{'United States'},2h 47min,Movie
"The Gangster, the Cop, the Devil",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil,"Gangster,","['Action & Adventure', 'Mystery & Thriller', 'Crime']",7.0  (26k)97%,set(),[],{'South Korea'},1h 50min,Movie
The Fall Guy,https://www.justwatch.com/in/movie/the-fall-guy,Fall,"['Action & Adventure', 'Comedy', 'Drama', 'Romance']",6.9  (158k)81%,"{'Amazon Video', 'Zee5', 'Apple TV', 'Jio Cinema'}","['UA', 'UA']","{'United States, Australia, Canada'}",2h 6min,Movie
Woman of the Hour,https://www.justwatch.com/in/movie/woman-of-the-hour,of,"['Crime', 'Drama', 'Mystery & Thriller']",6.6  (40k)91%,{'Lionsgate Play'},[],{'United States'},1h 35min,Movie
Maharaja,https://www.justwatch.com/in/movie/maharaja-2024,(2024),"['Crime', 'Drama', 'Mystery & Thriller', 'Action & Adventure']",8.5  (53k)83%,{'Netflix'},[],{'India'},2h 21min,Movie
Personal Shopper,https://www.justwatch.com/in/movie/personal-shopper,Shopper,"['Drama', 'Mystery & Thriller', 'Made in Europe']",6.1  (44k)81%,"{'Amazon Video', 'Netflix'}",[],"{'Belgium, Czech Republic, France, Germany, United Kingdom'}",1h 46min,Movie
