Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Dune: Part Two,https://www.justwatch.com/in/movie/dune-part-two,Part,"['Action & Adventure', 'Science-Fiction', 'Drama']",8.5,"{'Amazon Video', 'Apple TV', 'Jio Cinema'}","['UA', 'UA']",{'United States'},2h 47min,Movie
"The Gangster, the Cop, the Devil",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil,"Gangster,","['Action & Adventure', 'Mystery & Thriller', 'Crime']",7.0,set(),[],{'South Korea'},1h 50min,Movie
The Fall Guy,https://www.justwatch.com/in/movie/the-fall-guy,Fall,"['Action & Adventure', 'Comedy', 'Drama', 'Romance']",6.9,"{'Amazon Video', 'Zee5', 'Apple TV', 'Jio Cinema'}","['UA', 'UA']","{'United States, Australia, Canada'}",2h 6min,Movie
Woman of the Hour,https://www.justwatch.com/in/movie/woman-of-the-hour,of,"['Crime', 'Drama', 'Mystery & Thriller']",6.6,{'Lionsgate Play'},[],{'United States'},1h 35min,Movie
Maharaja,https://www.justwatch.com/in/movie/maharaja-2024,(2024),"['Crime', 'Drama', 'Mystery & Thriller', 'Action & Adventure']",8.5,{'Netflix'},[],{'India'},2h 21min,Movie
Personal Shopper,https://www.justwatch.com/in/movie/personal-shopper,Shopper,"['Drama', 'Mystery & Thriller', 'Made in Europe']",6.1,"{'Amazon Video', 'Netflix'}",[],"{'Belgium, Czech Republic, France, Germany, United Kingdom'}",1h 46min,Movie
Aavesham,https://www.justwatch.com/in/movie/aavesham-2024,(2024),"['Action & Adventure', 'Comedy']",7.8,"{'Hotstar', 'Amazon Video', 'Amazon Prime Video'}",[],{'India'},2h 38min,Movie
K.G.F: Chapter 2,https://www.justwatch.com/in/movie/k-g-f-chapter-2,Chapter,"['Action & Adventure', 'Crime', 'Drama', 'Mystery & Thriller']",8.2,"{'VI movies and tv', 'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 46min,Movie
The Wolf of Wall Street,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,Wolf,"['Comedy', 'Crime', 'Drama']",8.2,"{'Lionsgate Play', 'Lionsgate Play Amazon Channel', 'Amazon Video', 'Lionsgate Play Apple TV Channel'}","['A', 'A']",{'United States'},3h 0min,Movie
The Promised Land,https://www.justwatch.com/in/movie/the-bastard,Promised,"['Action & Adventure', 'Drama', 'History']",7.7,{'Amazon Prime Video'},[],"{'Denmark, Germany, Sweden'}",2h 7min,Movie
Knock Knock,https://www.justwatch.com/in/movie/knock-knock-2015,Knock,"['Horror', 'Mystery & Thriller', 'Crime']",4.9,"{'Vrott Amazon Channel', 'MX Player'}","['A', 'A']","{'United States, Chile, Germany'}",1h 39min,Movie
Smile,https://www.justwatch.com/in/movie/smile-2022-0,(2022),"['Horror', 'Mystery & Thriller']",6.5,"{'Amazon Video', 'Apple TV'}","['A', 'A']",{'United States'},1h 55min,Movie
Bullet Train,https://www.justwatch.com/in/movie/bullet-train,Train,"['Comedy', 'Mystery & Thriller', 'Action & Adventure']",7.3,"{'Sony Liv', 'Amazon Video', 'Zee5', 'Apple TV', 'Netflix'}","['A', 'A']",{'United States'},2h 6min,Movie
Bramayugam,https://www.justwatch.com/in/movie/bramayugam,(2024),"['Drama', 'Horror', 'Mystery & Thriller']",7.8,"{'VI movies and tv', 'Sony Liv'}","['UA', 'UA']",{'India'},2h 19min,Movie
Mathu Vadalara,https://www.justwatch.com/in/movie/mathu-vadalara,Vadalara,"['Crime', 'Comedy', 'Mystery & Thriller']",8.2,{'Amazon Prime Video'},"['UA', 'UA']",{'India'},2h 10min,Movie
Ready or Not,https://www.justwatch.com/in/movie/ready-or-not-2019,or,"['Horror', 'Mystery & Thriller', 'Action & Adventure', 'Comedy']",6.9,"{'Amazon Video', 'Apple TV', 'Netflix'}","['A', 'A']",{'United States'},1h 35min,Movie
Red One,https://www.justwatch.com/in/movie/red-one,One,"['Fantasy', 'Action & Adventure', 'Comedy']",6.9,set(),[],{'United States'},2h 3min,Movie
The Penguin,https://www.justwatch.com/in/tv-show/the-penguin,2024,"['Crime', 'Drama', 'Fantasy']",8.7,{'Jio Cinema'},,United States,58min,TV-Show
Citadel: Honey Bunny,https://www.justwatch.com/in/tv-show/citadel-honey-bunny,2024,"['Drama', 'Science-Fiction', 'Mystery & Thriller', 'Action & Adventure']",6.2,{'Amazon Prime Video'},,India,50min,TV-Show
The Day of the Jackal,https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,2024,"['Crime', 'Drama', 'Mystery & Thriller', 'Action & Adventure']",8.1,{'Jio Cinema'},,"United States, United Kingdom",51min,TV-Show
Mirzapur,https://www.justwatch.com/in/tv-show/mirzapur,2018,"['Action & Adventure', 'Drama', 'Crime', 'Mystery & Thriller']",8.4,{'Amazon Prime Video'},,India,50min,TV-Show
Don't Come Home,https://www.justwatch.com/in/tv-show/dont-come-home,2024,"['Mystery & Thriller', 'Drama', 'Horror', 'Science-Fiction']",7.3,{'Netflix'},,Thailand,45min,TV-Show
Taaza Khabar,https://www.justwatch.com/in/tv-show/taaza-khabar,2023,"['Drama', 'Science-Fiction', 'Comedy', 'Fantasy', 'Mystery & Thriller', 'Action & Adventure']",8.1,{'Hotstar'},,India,32min,TV-Show
Bigg Boss,https://www.justwatch.com/in/tv-show/bigg-boss,2006,"['Reality TV', 'Kids & Family']",3.6,{'Hotstar'},,India,1h 15min,TV-Show
XXX: Uncensored,https://www.justwatch.com/in/tv-show/x-x-x-uncensored,2018,"['Comedy', 'Drama', 'Romance']",4.8,{'Alt Balaji'},,India,22min,TV-Show
Dune: Prophecy,https://www.justwatch.com/in/tv-show/dune-the-sisterhood,2024,"['Science-Fiction', 'Drama', 'Action & Adventure']",7.5,{'Jio Cinema'},,United States,54min,TV-Show
The Diplomat,https://www.justwatch.com/in/tv-show/the-diplomat,2023,"['Drama', 'War & Military', 'Mystery & Thriller']",8.0,{'Netflix'},,United States,49min,TV-Show
Arcane,https://www.justwatch.com/in/tv-show/arcane,2021,"['Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction', 'Animation', 'Mystery & Thriller']",9.0,{'Netflix'},,"United States, France",41min,TV-Show
